TimeIndex,PDP
0,8.23986067686042e-12
1,2.4942805250584728e-11
2,1.768858684426594e-11
3,3.0642374736126326e-11
4,3.175694697338586e-11
5,2.3301706858191112e-11
6,1.0644726191345123e-11
7,1.8753976528668152e-11
8,1.0210703384639433e-10
9,8.803942447441717e-11
10,1.3544342844250121e-10
11,6.126464956898504e-11
12,1.480890679972295e-10
13,3.588017457571617e-10
14,7.444062477314969e-10
15,8.650527912069301e-10
16,1.800461283378844e-10
17,1.8965303850545146e-11
18,4.631605152506345e-10
19,1.0341249146703597e-09
20,4.539131785247371e-11
21,1.0061145894103728e-10
22,8.83993938167345e-11
23,5.914650160951435e-10
24,3.6233711998436246e-10
25,1.4914917820695713e-10
26,1.4757762177099032e-10
27,3.9255439711003335e-10
28,8.645210015323393e-10
29,1.3981427626880565e-10
30,3.506685284002089e-11
31,4.551606342876887e-11
32,3.858578949646613e-10
33,1.5349144825854633e-10
34,2.626237141632673e-10
35,5.893679422914722e-11
36,1.2822952693290673e-10
37,4.630411416107426e-10
38,1.678842084427128e-10
39,2.32782496080321e-10
40,2.8486155284508113e-11
41,2.6659369286076073e-10
42,1.601920391909751e-10
43,6.848405243000541e-11
44,2.6620073379026607e-11
45,3.673551783969316e-11
46,1.0669684839117461e-10
47,1.1074278541756576e-10
48,9.769237252309019e-11
49,2.2857344804000757e-12
50,2.2758451054476905e-11
51,3.5570385527732354e-11
52,5.502012242200344e-11
53,1.7815593618912136e-11
54,1.5972994178577768e-10
55,1.0109345754386707e-10
56,3.353646612362472e-11
57,9.017343514414218e-12
58,2.1746127235751473e-11
59,2.9334562625184503e-11
60,6.66173166533262e-12
61,4.173861946123159e-11
62,3.2169172325592724e-13
63,7.808127171231794e-11
64,7.740794697593465e-12
65,1.6513789218537395e-11
66,1.585385407076724e-11
67,6.469225759138121e-11
68,1.4426665357721486e-10
69,5.133357211317112e-11
70,1.1769372646957484e-11
71,3.395915332896593e-11
72,1.90002006371392e-11
73,1.677255606615609e-10
74,1.0807848337481373e-10
75,3.882888964406032e-11
76,1.3899988596262067e-10
77,1.5575213247719623e-10
78,2.4771136754771395e-11
79,1.841240826272685e-11
80,8.451017907231912e-11
81,5.765256749986168e-11
82,8.370582395335507e-12
83,2.7912275575024266e-11
84,1.696294296144927e-10
85,1.2567640727413494e-10
86,6.909865981861076e-11
87,1.187301581846057e-11
88,2.6892034409744516e-11
89,1.545833678877383e-10
90,2.8385087522885166e-11
91,6.075725574530035e-11
92,3.1160242578322597e-12
93,3.7047518308764744e-11
94,1.712546802205597e-10
95,6.440165795315474e-11
96,7.011281883442425e-11
97,1.5748443248815196e-10
98,1.373691323964026e-10
99,4.469758255280587e-11
100,2.35319664763376e-12
101,1.3053277802105896e-12
102,1.826966679332359e-11
103,1.576004857048482e-11
104,7.359807915560967e-13
105,5.697102282081939e-12
106,1.583964059520135e-11
107,7.849404268555342e-12
108,1.4633081950232818e-13
109,1.1027728947205626e-11
110,8.449996986925774e-12
111,1.7168887396956662e-12
112,1.522527804241323e-11
113,1.811987388946957e-11
114,2.8599305420007854e-11
115,1.0904023741738849e-11
116,3.0182831242486568e-12
117,1.6328457424457603e-11
118,4.2089130720040466e-11
119,4.100901089118452e-12
120,3.6532176506312223e-13
121,5.018538350712718e-12
122,1.1041634963898741e-11
123,5.2951179894740344e-12
124,7.738805624473619e-13
125,6.567042704008305e-13
126,1.471586906050682e-12
127,4.455683546339011e-12
128,9.974250654426677e-12
129,5.402200253009629e-13
130,3.2398930533238217e-12
131,6.120157680728468e-13
132,1.592875583378634e-11
133,1.3748281605031757e-11
134,8.529315297283265e-12
135,2.4474667043365228e-11
136,1.7409457823298645e-11
137,1.525002686127198e-11
138,3.9308810782206114e-11
139,2.185325038935348e-11
140,4.19632545912358e-11
141,7.78366165559245e-12
142,1.2756977619779791e-11
143,1.5871819131539375e-11
144,1.5176780386763994e-12
145,9.7490191497835e-12
146,6.911242053215009e-12
147,1.7726439953115485e-12
148,2.610978459201697e-12
149,3.5523127742218014e-12
150,6.0480719595089e-12
