TimeIndex,PDP
0,1.3907078056027525e-11
1,1.889488570942508e-11
2,1.3769712490482743e-11
3,2.1548209626570954e-11
4,7.214065567962982e-12
5,1.0433227151660018e-10
6,1.0284449690377507e-10
7,3.902311107506035e-12
8,1.4940671211931746e-10
9,2.0080752170286187e-11
10,1.794799932974155e-10
11,5.988587701957801e-11
12,1.325001535136412e-10
13,2.362418801138229e-10
14,7.988462357162083e-10
15,6.912868582285062e-10
16,1.1129414085265583e-10
17,5.5470245456397326e-11
18,3.469478339229163e-10
19,7.525066200882059e-10
20,2.852630185437436e-11
21,8.068414757840303e-11
22,5.549612093438021e-11
23,4.563101769045922e-10
24,1.47727142293246e-10
25,1.550415196486282e-10
26,3.389625692995649e-11
27,3.247750876990441e-10
28,9.202510004146252e-10
29,8.19678215008179e-11
30,5.618971587632654e-11
31,1.4749593197707477e-11
32,4.342433674023873e-10
33,5.3353092524234835e-11
34,2.38606662064799e-10
35,2.189854304326312e-11
36,8.768769076161282e-11
37,3.867123190659771e-10
38,1.1186979700955186e-10
39,1.7205022558688776e-10
40,2.8824606511128817e-11
41,1.630484229978901e-10
42,1.1567123365004542e-10
43,5.953132218102799e-11
44,7.173127796899317e-11
45,1.4704203402347431e-10
46,9.939790042511416e-11
47,9.746223107781709e-11
48,4.4222461318826565e-11
49,8.331330461023621e-11
50,1.5602006590258487e-10
51,8.20644622126902e-12
52,1.0629129446897327e-10
53,1.3904081269502418e-11
54,1.1424735296872684e-10
55,2.9487483470176576e-11
56,2.331649302814066e-11
57,5.891910652143218e-11
58,1.1360816800300617e-10
59,7.854163544649116e-11
60,5.050083486870399e-11
61,7.070737755065594e-11
62,3.709782383971528e-11
63,1.4974965760747555e-10
64,3.832320841886798e-11
65,2.430105229550189e-11
66,2.6364575311361088e-11
67,1.411268799931036e-10
68,5.3335056298181415e-12
69,1.0763119375320785e-10
70,1.8945669871491677e-11
71,9.188949896035816e-11
72,7.600978847372838e-11
73,6.638665054402925e-11
74,2.404197570814374e-10
75,1.9983010967662544e-10
76,1.4481880764534578e-10
77,1.20817257378802e-11
78,1.0660287703425335e-10
79,2.5181391926397705e-11
80,5.836946651881396e-11
81,5.95208939846778e-11
82,2.2790895492968208e-11
83,2.6402711376762566e-11
84,2.0002776993961132e-10
85,7.99902481743393e-11
86,4.883412402738223e-11
87,1.0783302641255578e-10
88,8.322899002444529e-12
89,1.7686863918890127e-10
90,3.0104116447485127e-11
91,4.3687783977636345e-11
92,3.029297048098897e-11
93,3.792970491165359e-11
94,8.394670412027416e-11
95,2.3990345489693438e-11
96,4.878801666869248e-11
97,8.180539406145886e-11
98,8.637752861607246e-12
99,6.733194760134731e-11
100,4.409117217873422e-11
101,2.832839431545078e-12
102,1.753215461971267e-11
103,4.9363568581988866e-12
104,5.1304680754505435e-11
105,3.077550846119231e-11
106,2.1520102357981927e-11
107,4.0973916898997507e-11
108,2.966078516439677e-11
109,2.165743550138546e-13
110,1.736588794568678e-11
111,2.719546593630608e-11
112,5.4091314326158595e-11
113,3.4830620220158e-11
114,7.0596898163078824e-12
115,6.353018411325479e-12
116,2.6160327819905376e-13
117,5.218138951479438e-12
118,4.0503325194102444e-11
119,5.399920774939913e-11
120,1.1258103093644575e-11
121,6.414072067102431e-12
122,1.82411857668142e-11
123,1.1267527524488186e-11
124,5.945906702244833e-12
125,2.11336185037463e-12
126,1.04255953888573e-12
127,1.7797598932418e-12
128,4.095882562724334e-12
129,4.431487241974719e-12
130,1.5858974500077112e-11
131,2.487610796168e-11
132,1.2671614477032611e-11
133,1.6050847083073574e-11
134,8.61924436483107e-12
135,9.838538344268281e-12
136,3.767417518948366e-12
137,1.0444796688834023e-11
138,2.186860791672712e-11
139,1.8833814213347815e-11
140,1.2687537935650942e-11
141,1.8652324599490333e-11
142,1.3898971243363177e-11
143,9.96265832976106e-12
144,6.9877361899056445e-12
145,9.115753582861864e-12
146,9.220767116184312e-12
147,8.40993147589799e-12
148,9.537786294758236e-12
149,7.805036125478435e-12
150,3.9243556120920694e-12
