Distance,Data
26,(8.1466915e-06-1.7250815e-05j)
26,(5.14746e-06-2.6192694e-05j)
26,(1.3112141e-06-2.7630673e-05j)
26,(-6.456593e-05-0.00010760385j)
26,(-0.000117081465+0.00014570454j)
26,(7.366511e-05+5.1901257e-05j)
26,(5.4723678e-05-1.3290625e-05j)
26,(-1.4305878e-06+5.1986617e-06j)
26,(7.603321e-06-8.846869e-07j)
26,(2.1764385e-05-7.3677897e-06j)
26,(3.4942984e-06-2.335094e-05j)
26,(-1.4722648e-05-1.5480417e-05j)
26,(-1.6826003e-05+1.0145228e-05j)
26,(2.4820312e-05-2.2275335e-06j)
26,(7.194781e-07-2.5112178e-05j)
26,(-2.1706475e-05-8.673583e-06j)
26,(-3.5420795e-05-6.6140474e-06j)
28,(2.5689651e-05+2.8383265e-05j)
28,(-6.414955e-05-1.868435e-05j)
28,(9.210943e-07-5.3787994e-06j)
28,(-1.0442616e-05+3.621114e-06j)
28,(-1.0682548e-06+2.7654241e-06j)
28,(9.521612e-06-1.0792365e-05j)
28,(2.0173823e-06-3.6582687e-06j)
28,(2.3570149e-06+5.841855e-06j)
28,(3.4308641e-06-7.065001e-06j)
28,(7.672737e-06-1.8553756e-05j)
28,(1.1748609e-05-3.6038935e-05j)
28,(-4.864023e-07-3.6617974e-05j)
28,(-7.8178295e-05-5.6621477e-05j)
28,(-0.00011205734+0.00014228512j)
28,(0.00012753041+2.2471108e-05j)
28,(4.181514e-06+4.3151192e-07j)
28,(2.0263108e-06-5.992293e-06j)
28,(3.0370572e-06+1.4533075e-06j)
28,(2.145642e-05-4.674804e-06j)
28,(5.8962887e-06-2.6376772e-05j)
28,(-1.5866553e-05-1.1739307e-05j)
28,(-2.114166e-05+9.229756e-06j)
28,(2.4459425e-05-4.749535e-07j)
28,(-1.3778642e-06-2.334483e-05j)
28,(-1.6158601e-05-4.370488e-06j)
28,(-3.264291e-05-8.323327e-06j)
30,(1.7861059e-05+1.0250231e-05j)
30,(-7.753458e-06-7.0704136e-06j)
30,(-9.700793e-06-2.614458e-07j)
30,(-5.41303e-06+4.9202267e-06j)
30,(6.862982e-07+2.2406157e-06j)
30,(8.92755e-06-1.2255706e-05j)
30,(-5.2792063e-07-6.825364e-06j)
30,(-2.6329776e-06+2.2552035e-06j)
30,(4.0533064e-06-8.4703e-06j)
30,(8.391827e-06-1.9316323e-05j)
30,(1.0574984e-05-1.9131396e-05j)
30,(-2.9112041e-07-4.01766e-05j)
30,(-9.52357e-05-7.932838e-05j)
30,(-9.52298e-05+0.00016997012j)
30,(9.3719544e-05+4.0157287e-05j)
30,(3.8815422e-05-9.1667025e-06j)
30,(1.4095301e-05-1.604666e-05j)
30,(3.5053783e-06-2.9066932e-06j)
