TimeIndex,PDP
0,2.5854528154695684e-12
1,3.2496853519186783e-12
2,5.476150913532628e-12
3,8.890759955056032e-12
4,4.120704639082949e-11
5,3.078185213939834e-11
6,6.42836119155368e-11
7,1.2529853711860384e-11
8,5.3676874244556834e-11
9,9.952215844766993e-11
10,2.5537004080645234e-10
11,1.3185604431448695e-10
12,1.524797477601495e-10
13,3.94476208451847e-10
14,1.2076410070257645e-09
15,1.052049337839341e-09
16,1.5870091485917663e-10
17,1.9902499589086853e-11
18,7.382248650510819e-10
19,1.2766212101307581e-09
20,2.431294163929397e-10
21,3.2445824449615247e-10
22,1.2534396443491881e-10
23,6.450967056454057e-10
24,4.027418235877699e-10
25,2.7079564938977304e-10
26,1.1660264445575562e-10
27,4.2023913458976734e-10
28,9.71109035756762e-10
29,5.927727975445465e-11
30,1.6519460958217397e-10
31,6.376051967569447e-11
32,2.8744545649364163e-10
33,1.6740792971704868e-10
34,3.1209613161392017e-10
35,9.042769906512985e-11
36,1.5411786023516694e-10
37,5.319354531432735e-10
38,2.7893279802674664e-10
39,3.5572681933011835e-10
40,5.360860821462722e-11
41,5.596858975636935e-10
42,4.4175105713054206e-10
43,2.032657947081453e-10
44,1.9260786472128526e-10
45,3.5059013560329917e-10
46,3.357546490365151e-10
47,2.418964934235562e-10
48,2.79710530470734e-10
49,1.0065074925674316e-10
50,1.384589884483968e-10
51,6.060998565915232e-12
52,2.9001873031096875e-11
53,2.754553493229914e-11
54,5.5618194170312716e-11
55,2.3970393567494687e-11
56,4.251474316672692e-11
57,2.5232917444143378e-12
58,9.82585284264936e-12
59,6.229455243904874e-11
60,2.0054725753083284e-11
61,4.003757759728367e-11
62,4.1793438006469366e-11
63,3.5153513358914535e-11
64,4.104316074998719e-12
65,7.696068881422148e-12
66,1.3025591861619961e-11
67,5.2181440566623785e-11
68,4.5521994598261405e-11
69,1.1340474418013687e-11
70,1.7464902968386656e-11
71,3.931326370610586e-11
72,4.620040194724839e-11
73,5.4304662788595357e-11
74,8.916877754465733e-11
75,1.4758985983680768e-10
76,9.286139949851354e-11
77,7.866926268525796e-11
78,4.7939098793000244e-11
79,8.897524429781053e-12
80,3.054973916051414e-11
81,4.80801374042215e-11
82,4.744129045327967e-11
83,2.6076416949075348e-11
84,1.259226210851612e-10
85,1.0000533508816583e-10
86,6.529678002674811e-11
87,3.340529673520444e-12
88,1.8725463510820183e-11
89,8.643051992868978e-11
90,4.5842167264179985e-11
91,7.264741502453547e-12
92,2.673894230054956e-12
93,4.776570012730891e-11
94,1.2231328055761824e-10
95,7.776547067262684e-12
96,1.5348183488473143e-11
97,4.81673572437775e-11
98,1.08568663598709e-10
99,8.108665061715147e-12
100,8.113409927361222e-12
101,1.4732553335524604e-11
102,2.3232694224946457e-11
103,4.399703637165346e-12
104,9.952913483699954e-12
105,4.366414815785562e-12
106,4.351612462050328e-13
107,1.4679427322281477e-11
108,6.928506206262793e-12
109,6.4733283943290365e-12
110,2.8993651086671325e-11
111,2.8043078988384243e-11
112,1.515060952360388e-11
113,4.995349280332319e-12
114,4.455120158278439e-11
115,1.0808822514594621e-11
116,9.413004830993177e-12
117,3.3375671652257264e-12
118,2.482930401022864e-11
119,5.165888863633516e-12
120,5.63756260736541e-12
121,1.2949696102950161e-11
122,2.3667953751336233e-12
123,9.389434945601027e-12
124,1.6684343207298413e-12
125,5.99035997643985e-12
126,2.1092047549989382e-11
127,9.798198712110848e-12
128,4.249147970529156e-12
129,2.2599404114616007e-11
130,2.9443684596840575e-11
131,6.185350079422725e-12
132,1.1709655043891158e-11
133,8.713702344678761e-12
134,6.114922199982993e-12
135,5.652885836330548e-12
136,6.633738808992128e-12
137,9.254449251540288e-13
138,4.2525116200660936e-12
139,8.264850548267626e-12
140,1.831814141567031e-12
141,2.080215638646698e-12
142,3.1324927145768555e-12
143,1.6181622033708304e-12
144,2.3344021667512425e-13
145,3.365159100779468e-12
146,2.270881953264691e-12
147,3.814491552141087e-13
148,9.471660463697503e-14
149,1.4308303822974939e-12
150,4.346975436640879e-12
