TimeIndex,PDP
0,1.3984350484857928e-11
1,8.399677262490021e-12
2,1.2207868905582122e-12
3,3.170144382389084e-13
4,1.0898580798766432e-11
5,4.212913659457982e-12
6,4.702706617501209e-12
7,4.91679860799762e-12
8,7.599044348689193e-12
9,2.3594625346563545e-11
10,3.889647899342037e-11
11,1.1056092609219327e-11
12,2.916445907241757e-11
13,6.801959600596488e-11
14,1.453190233503632e-10
15,1.7664991464945723e-10
16,2.022834334653012e-11
17,3.439264785094895e-12
18,1.0034935270888983e-10
19,2.425372552704574e-10
20,3.519003108552579e-11
21,3.1638700728713374e-11
22,1.5350363664881754e-11
23,8.982480224060124e-11
24,8.389103214785539e-11
25,3.6262328382161765e-11
26,1.4240313709938639e-11
27,5.2129149939730095e-11
28,1.947996261630294e-10
29,1.016620490215407e-11
30,2.6641794996296506e-11
31,4.311086613665883e-12
32,7.216176433933779e-11
33,4.2908863540289826e-11
34,1.1264301357915931e-11
35,6.301575391143596e-13
36,2.9039821880550474e-11
37,8.484447018693038e-11
38,1.3040366140683543e-11
39,9.708404592063941e-12
40,4.426165819062744e-13
41,7.090523225189037e-11
42,7.840077130207446e-11
43,2.7679699381960612e-11
44,1.87575948942004e-11
45,4.193453958098533e-11
46,4.5019221959625954e-11
47,6.426723973691214e-11
48,6.814409001033396e-11
49,3.199719620136733e-11
50,4.2251581397573515e-11
51,4.874458211483977e-12
52,1.2149872443991441e-11
53,1.4598875179025324e-11
54,2.9322457597205324e-11
55,2.2877692059758024e-11
56,5.549634907266385e-12
57,1.0790648736359498e-11
58,1.8284622629661853e-11
59,2.4197402378985726e-11
60,9.260616854254889e-12
61,5.407047060673143e-13
62,2.4331679462158857e-11
63,1.9206464198570062e-11
64,1.6288334116143967e-12
65,1.1760386803302004e-11
66,2.0763394929428485e-11
67,2.0047567947516834e-11
68,8.995227127794997e-13
69,6.830687761387796e-12
70,1.0128748798098979e-11
71,6.174541948618854e-12
72,2.169283352587486e-11
73,1.7256980413514364e-12
74,2.303404023475065e-11
75,1.1875775522013718e-11
76,2.5993758795848443e-11
77,3.309915026932078e-12
78,5.428765250309902e-12
79,6.917066996501533e-12
80,1.2090455380977293e-11
81,7.2520452960089615e-12
82,3.5907951175791114e-13
83,8.94873535215685e-12
84,1.7221091687115053e-11
85,1.824579473634738e-11
86,8.00131582378197e-12
87,4.235422171482527e-12
88,1.888718784980985e-12
89,2.0152911517478207e-11
90,2.752514687416196e-11
91,3.8144895967343665e-12
92,5.193849814557077e-13
93,1.0593086358647973e-11
94,1.2511011217533461e-11
95,1.0322788086565281e-11
96,5.315512438184091e-12
97,7.062009146840222e-12
98,1.556107641033188e-12
99,1.440178350754595e-11
100,8.203768650555432e-12
101,8.992653145093975e-14
102,7.34129880570153e-13
103,9.587680363115271e-12
104,4.945712643835907e-12
105,9.25181990470393e-13
106,1.2874879874033412e-11
107,1.393646939120307e-11
108,4.184864067758928e-12
109,7.64721061025582e-13
110,8.432007687411393e-12
111,9.98843145441619e-12
112,6.124396793515638e-12
113,1.893803513696116e-12
114,1.7720813893128247e-12
115,9.743898880450711e-12
116,5.4225219460914085e-12
117,5.266838202863426e-12
118,3.337217496264714e-12
119,8.439278493883591e-12
120,2.8955553176691683e-12
121,2.081617504273906e-13
122,2.871630973120467e-12
123,4.793915864084268e-12
124,7.888823823817709e-13
125,4.140532172658467e-13
126,2.2725351312465422e-13
127,2.593938977018937e-12
128,4.205140166257401e-13
129,5.3450558525154355e-12
130,3.317159769765223e-12
131,4.458348228662731e-13
132,3.6582333539925445e-12
133,2.510930058816503e-12
134,1.5440655101744315e-12
135,1.635948396773313e-13
136,2.6628659184760346e-12
137,7.638846860182181e-13
138,4.4210923907015406e-14
139,1.1981635498051522e-12
140,4.444942667478506e-12
141,1.2777904735742343e-12
142,1.6771676246618464e-13
143,1.3084710405151377e-12
144,5.560122904894698e-12
145,5.282759655599382e-12
146,2.031840414215818e-12
147,1.494799485045496e-12
148,2.9461861132093447e-12
149,6.123535430793053e-12
150,8.593653632144315e-12
