TimeIndex,PDP
0,4.882688251192135e-13
1,3.0670806389642335e-13
2,2.4429026622712066e-12
3,1.1184014616218333e-11
4,9.070032453020092e-14
5,2.0605904580963942e-11
6,1.479880262583334e-11
7,4.63537500839475e-13
8,1.547338022488657e-11
9,1.124416037528095e-11
10,5.2737203138729115e-11
11,1.5661243364095054e-11
12,2.0495250874045278e-11
13,3.904035134981055e-11
14,1.2564568470391653e-10
15,1.294817149892782e-10
16,3.2196354631434355e-11
17,9.10007368048318e-13
18,7.25066313922873e-11
19,1.6289440203368105e-10
20,1.0737938588491052e-11
21,1.4434069360640963e-11
22,8.238872423431415e-12
23,9.420704476575803e-11
24,5.5137293609761065e-11
25,2.8512559143281978e-11
26,1.2716130633044773e-11
27,8.841999695294553e-11
28,1.847914792632794e-10
29,1.1904693310218434e-12
30,1.3297912633763069e-11
31,1.1236214082543777e-11
32,5.710974992618285e-11
33,2.4367997878503838e-11
34,2.174717439883989e-11
35,7.921516769941607e-12
36,8.94901105633588e-12
37,6.778384894198124e-11
38,8.962858450492214e-12
39,1.8331715176844356e-11
40,6.249169463075467e-12
41,7.333666353700716e-11
42,2.6179047589557946e-11
43,1.872254896333557e-12
44,1.5739293844209926e-11
45,4.709820921341685e-11
46,2.8231274600971997e-11
47,1.717547638512749e-11
48,4.599854868558129e-11
49,1.64941867954018e-11
50,2.623617068454249e-11
51,4.4979030740755457e-13
52,8.51580928267033e-12
53,2.8438060163980772e-12
54,2.4405347212788482e-11
55,7.288213798100744e-12
56,1.0612126843018167e-11
57,9.898545859929045e-13
58,5.257733034539961e-12
59,1.1457606313485693e-11
60,1.1450414679780844e-12
61,2.389892882687139e-12
62,1.7610712302896934e-11
63,2.8784175051566646e-11
64,1.9814802338147212e-12
65,2.46966885776992e-12
66,6.248845441158308e-12
67,3.1934277928843346e-11
68,3.386423229270409e-12
69,1.3224491424916705e-11
70,7.95652057537527e-12
71,4.309325388787397e-11
72,2.914166485081558e-11
73,1.569210199826682e-11
74,1.921641413551595e-11
75,1.4624028928629044e-11
76,4.832661487489031e-11
77,8.369100240546696e-12
78,1.3027672910530502e-11
79,1.1585896248195221e-11
80,4.347652594964697e-12
81,9.912027223676158e-12
82,3.480745155344866e-12
83,9.053711751848253e-12
84,2.2353043964720836e-11
85,1.4462703359361722e-11
86,1.6927745742256263e-12
87,1.5128240476225565e-11
88,3.039948839691605e-12
89,2.4921590936031203e-11
90,2.8822342541948234e-11
91,1.6484012576971784e-12
92,3.049690596065424e-12
93,1.066405810842099e-11
94,6.807772881374208e-12
95,7.141026892708829e-12
96,4.666403227843393e-12
97,1.904595303444317e-11
98,7.988833384091076e-12
99,7.620108422067754e-12
100,4.922356413105955e-12
101,9.595338883000045e-13
102,5.846645716010803e-13
103,4.5287616357484635e-12
104,7.846507186934315e-13
105,2.6012902605884154e-13
106,3.970059936057891e-12
107,7.482311026206713e-12
108,3.3631918925303824e-12
109,3.167994439772873e-12
110,3.0964513839876657e-12
111,1.6372771950656187e-12
112,5.524082435129458e-12
113,2.988800449976997e-12
114,7.023508874014737e-13
115,1.7069228562765041e-12
116,1.8950419242642995e-12
117,1.1270156213724357e-12
118,8.656594782089856e-13
119,4.48297925710707e-12
120,3.1887555635050997e-12
121,7.673241962360829e-13
122,1.399034113060318e-13
123,2.4994644322012535e-14
124,1.0815106318999248e-13
125,1.0237737649732199e-12
126,2.2082414846341127e-12
127,1.5036006046200403e-12
128,3.9909418313631315e-13
129,9.71892047154373e-13
130,8.807600440917769e-13
131,1.84920538977121e-12
132,4.252480707899106e-13
133,1.1184214747525785e-12
134,2.050212661127229e-12
135,4.1800034498898093e-13
136,2.663149552577067e-13
137,1.966059532290768e-13
138,4.436454831409481e-13
139,1.1548284173483104e-13
140,5.246992399952281e-14
141,1.9089319051644457e-13
142,1.1059737266723154e-12
143,2.4014309922302856e-12
144,3.8819447757616236e-12
145,4.021068551102925e-12
146,2.73724011003056e-12
147,1.530877419542915e-12
148,7.645614976101813e-13
149,4.633742451470587e-13
150,3.2104343556515748e-12
